combat,time,round,actor,action,target,damage,actor_PV,target_PV
20,2025-11-10T15:07:27.702,2,Hussin,attack,Jed,28,44,35
20,2025-11-10T15:07:27.702,3,Jed,attack,Hussin,29,35,15
20,2025-11-10T15:07:27.702,3,Hussin,attack,Jed,27,15,8
20,2025-11-10T15:07:27.702,4,Jed,attack,Hussin,15,8,0
21,2025-11-10T15:07:27.703,1,Jed,skill,Hussin,32,100,88
21,2025-11-10T15:07:27.703,1,Hussin,attack,Jed,20,88,80
21,2025-11-10T15:07:27.703,2,Jed,skill,Hussin,79,80,9
21,2025-11-10T15:07:27.703,2,Hussin,attack,Jed,21,9,59
21,2025-11-10T15:07:27.704,3,Jed,attack,Hussin,9,59,0
22,2025-11-10T15:07:27.704,1,Jed,skill,Hussin,35,100,85
22,2025-11-10T15:07:27.704,1,Hussin,attack,Jed,31,85,69
22,2025-11-10T15:07:27.704,2,Jed,skill,Hussin,35,69,50
22,2025-11-10T15:07:27.704,2,Hussin,attack,Jed,32,50,37
22,2025-11-10T15:07:27.705,3,Jed,attack,Hussin,16,37,34
22,2025-11-10T15:07:27.705,3,Hussin,attack,Jed,31,34,6
22,2025-11-10T15:07:27.705,4,Jed,attack,Hussin,12,6,22
22,2025-11-10T15:07:27.705,4,Hussin,attack,Jed,6,22,0
23,2025-11-10T15:07:27.706,1,Jed,skill,Hussin,37,100,83
23,2025-11-10T15:07:27.706,1,Hussin,attack,Jed,33,83,67
23,2025-11-10T15:07:27.706,2,Jed,skill,Hussin,36,67,47
23,2025-11-10T15:07:27.706,2,Hussin,attack,Jed,30,47,37
23,2025-11-10T15:07:27.707,3,Jed,attack,Hussin,21,37,26
23,2025-11-10T15:07:27.707,3,Hussin,attack,Jed,25,26,12
23,2025-11-10T15:07:27.707,4,Jed,attack,Hussin,18,12,8
23,2025-11-10T15:07:27.707,4,Hussin,attack,Jed,12,8,0
24,2025-11-10T15:07:27.707,1,Jed,skill,Hussin,31,100,89
24,2025-11-10T15:07:27.707,1,Hussin,attack,Jed,32,89,68
24,2025-11-10T15:07:27.707,2,Jed,skill,Hussin,38,68,51
24,2025-11-10T15:07:27.708,2,Hussin,skill,Jed,38,51,30
24,2025-11-10T15:07:27.708,3,Jed,attack,Hussin,14,30,37
24,2025-11-10T15:07:27.708,3,Hussin,attack,Jed,30,37,0
25,2025-11-10T15:07:27.708,1,Jed,skill,Hussin,40,100,80
25,2025-11-10T15:07:27.709,1,Hussin,skill,Jed,39,80,61
25,2025-11-10T15:07:27.709,2,Jed,skill,Hussin,73,61,7
25,2025-11-10T15:07:27.709,2,Hussin,attack,Jed,27,7,34
25,2025-11-10T15:07:27.71,3,Jed,attack,Hussin,7,34,0
26,2025-11-10T15:07:27.711,1,Jed,skill,Hussin,36,100,84
26,2025-11-10T15:07:27.711,1,Hussin,skill,Jed,39,84,61
26,2025-11-10T15:07:27.711,2,Jed,skill,Hussin,35,61,49
26,2025-11-10T15:07:27.711,2,Hussin,attack,Jed,31,49,30
26,2025-11-10T15:07:27.711,3,Jed,attack,Hussin,17,30,32
26,2025-11-10T15:07:27.711,3,Hussin,attack,Jed,26,32,4
26,2025-11-10T15:07:27.712,4,Jed,attack,Hussin,19,4,13
